City_/_Town_(Receiving_Water),Applicant_/_Facility_Name,Permit_Number,Date_of_Issuance,City/Town,Facility_Name,Facility_name_clean,Permit_URL,Stage,State,Watershed,City_/_Town,Comment_Period_Dates
"Sorrento (Frenchman's Bay, Class SB)","<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0036960permit-2012.pdf'>Great Bay Aquaculture of Maine, LLC - Preble Island (pdf)</a> <span class='document__meta'>(3.2 MB)</span>",ME0036960,11/02/2012,Sorrento,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0036960permit-2012.pdf'>Great Bay Aquaculture of Maine, LLC - Preble Island (pdf)</a> <span class='document__meta'>(3.2 MB)</span>","Great Bay Aquaculture of Maine, LLC - Preble Island (pdf) (3.2 MB)",['https://www.epa.gov/system/files/documents/2025-08/finalme0036960permit-2012.pdf'],final,me,"Frenchman's Bay, Class SB",,
"Sorrento (Frenchman's Bay, Class SB)","<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0036960permit-2009.pdf'>Great Bay Aquaculture of Maine, LLC - Preble Island (pdf)</a> <span class='document__meta'>(2.7 MB)</span>",ME0036960,03/25/2009,Sorrento,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0036960permit-2009.pdf'>Great Bay Aquaculture of Maine, LLC - Preble Island (pdf)</a> <span class='document__meta'>(2.7 MB)</span>","Great Bay Aquaculture of Maine, LLC - Preble Island (pdf) (2.7 MB)",['https://www.epa.gov/system/files/documents/2025-08/finalme0036960permit-2009.pdf'],final,me,"Frenchman's Bay, Class SB",,
"Sorrento (Frenchman's Bay, Class SB)","<a href='https://www.epa.gov/system/files/documents/2025-09/finalme0036960permit-2007.pdf'>Great Bay Aquaculture of Maine, LLC - Preble Island (pdf)</a> <span class='document__meta'>(2.8 MB)</span>",ME0036960,10/15/2007,Sorrento,"<a href='https://www.epa.gov/system/files/documents/2025-09/finalme0036960permit-2007.pdf'>Great Bay Aquaculture of Maine, LLC - Preble Island (pdf)</a> <span class='document__meta'>(2.8 MB)</span>","Great Bay Aquaculture of Maine, LLC - Preble Island (pdf) (2.8 MB)",['https://www.epa.gov/system/files/documents/2025-09/finalme0036960permit-2007.pdf'],final,me,"Frenchman's Bay, Class SB",,
"Sorrento (Atlantic Ocean at Back Cove, Class SB)","<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0102130permit-2017.pdf'>Sorrento <abbr title='Publicly Owned Treatment Works'>POTW</abbr>, Town of (pdf)</a> <span class='document__meta'>(1.6 MB)</span>",ME0102130,03/02/2017,Sorrento,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0102130permit-2017.pdf'>Sorrento <abbr title='Publicly Owned Treatment Works'>POTW</abbr>, Town of (pdf)</a> <span class='document__meta'>(1.6 MB)</span>","Sorrento POTW, Town of (pdf) (1.6 MB)",['https://www.epa.gov/system/files/documents/2025-07/finalme0102130permit-2017.pdf'],final,me,"Atlantic Ocean at Back Cove, Class SB",,
"Sorrento (Atlantic Ocean at Back Cove, Class SB)","<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0102130permitmod3-2015.pdf'>Sorrento <abbr title='Publicly Owned Treatment Works'>POTW</abbr>, Town of (Minor Revision) (pdf)</a> <span class='document__meta'>(360 KB)</span>",ME0102130,08/25/2015,Sorrento,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0102130permitmod3-2015.pdf'>Sorrento <abbr title='Publicly Owned Treatment Works'>POTW</abbr>, Town of (Minor Revision) (pdf)</a> <span class='document__meta'>(360 KB)</span>","Sorrento POTW, Town of (Minor Revision) (pdf) (360 KB)",['https://www.epa.gov/system/files/documents/2025-07/finalme0102130permitmod3-2015.pdf'],final,me,"Atlantic Ocean at Back Cove, Class SB",,
"Sorrento (Atlantic Ocean at Back Cove, Class SB)","<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0102130permitmod2-2015.pdf'>Sorrento <abbr title='Publicly Owned Treatment Works'>POTW</abbr>, Town of (Minor Revision) (pdf)</a> <span class='document__meta'>(349 KB)</span>",ME0102130,08/14/2015,Sorrento,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0102130permitmod2-2015.pdf'>Sorrento <abbr title='Publicly Owned Treatment Works'>POTW</abbr>, Town of (Minor Revision) (pdf)</a> <span class='document__meta'>(349 KB)</span>","Sorrento POTW, Town of (Minor Revision) (pdf) (349 KB)",['https://www.epa.gov/system/files/documents/2025-07/finalme0102130permitmod2-2015.pdf'],final,me,"Atlantic Ocean at Back Cove, Class SB",,
"Sorrento (Atlantic Ocean at Back Cove, Class SB)","<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0102130permitmr-2011.pdf'>Sorrento <abbr title='Publicly Owned Treatment Works'>POTW</abbr>, Town of (Minor Revision) (pdf)</a> <span class='document__meta'>(1.8 MB)</span>",ME0102130,12/05/2011,Sorrento,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0102130permitmr-2011.pdf'>Sorrento <abbr title='Publicly Owned Treatment Works'>POTW</abbr>, Town of (Minor Revision) (pdf)</a> <span class='document__meta'>(1.8 MB)</span>","Sorrento POTW, Town of (Minor Revision) (pdf) (1.8 MB)",['https://www.epa.gov/system/files/documents/2025-08/finalme0102130permitmr-2011.pdf'],final,me,"Atlantic Ocean at Back Cove, Class SB",,
"Sorrento (Atlantic Ocean at Back Cove, Class SB)","<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0102130permit-2011.pdf'>Sorrento <abbr title='Publicly Owned Treatment Works'>POTW</abbr>, Town of (pdf)</a> <span class='document__meta'>(2.2 MB)</span>",ME0102130,09/06/2011,Sorrento,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0102130permit-2011.pdf'>Sorrento <abbr title='Publicly Owned Treatment Works'>POTW</abbr>, Town of (pdf)</a> <span class='document__meta'>(2.2 MB)</span>","Sorrento POTW, Town of (pdf) (2.2 MB)",['https://www.epa.gov/system/files/documents/2025-08/finalme0102130permit-2011.pdf'],final,me,"Atlantic Ocean at Back Cove, Class SB",,
"South Berwick (Salmon Falls River Maine, Class SB; New Hampshire, Class B Tidal)",<a href='https://www.epa.gov/system/files/documents/2025-06/finalme0100820permit-2025.pdf'>South Berwick Sewer District (pdf)</a> <span class='document__meta'>(2.3 MB)</span>,ME0100820,06/10/2025,South Berwick,<a href='https://www.epa.gov/system/files/documents/2025-06/finalme0100820permit-2025.pdf'>South Berwick Sewer District (pdf)</a> <span class='document__meta'>(2.3 MB)</span>,South Berwick Sewer District (pdf) (2.3 MB),['https://www.epa.gov/system/files/documents/2025-06/finalme0100820permit-2025.pdf'],final,me,"Salmon Falls River Maine, Class SB; New Hampshire, Class B Tidal",,
"South Bristol (Damariscotta River, Class SB)",<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0037451permit-2017.pdf'>Mook Sea Farms Inc. (pdf)</a> <span class='document__meta'>(1.3 MB)</span>,ME0037451,06/05/2017,South Bristol,<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0037451permit-2017.pdf'>Mook Sea Farms Inc. (pdf)</a> <span class='document__meta'>(1.3 MB)</span>,Mook Sea Farms Inc. (pdf) (1.3 MB),['https://www.epa.gov/system/files/documents/2025-07/finalme0037451permit-2017.pdf'],final,me,"Damariscotta River, Class SB",,
"South Bristol (Tidewaters of South Bristol, Class SB)","<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0023272permit-2012.pdf'>South Bristol Wharf, LLC (pdf)</a> <span class='document__meta'>(2.4 MB)</span>",ME0023272,12/04/2012,South Bristol,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0023272permit-2012.pdf'>South Bristol Wharf, LLC (pdf)</a> <span class='document__meta'>(2.4 MB)</span>","South Bristol Wharf, LLC (pdf) (2.4 MB)",['https://www.epa.gov/system/files/documents/2025-08/finalme0023272permit-2012.pdf'],final,me,"Tidewaters of South Bristol, Class SB",,
"South Bristol (Tidewaters of South Bristol, Class SB)","<a href='https://www.epa.gov/system/files/documents/2025-09/finalme0023272permit-2007.pdf'>South Bristol Wharf, LLC (pdf)</a> <span class='document__meta'>(2.2 MB)</span>",ME0023272,10/24/2007,South Bristol,"<a href='https://www.epa.gov/system/files/documents/2025-09/finalme0023272permit-2007.pdf'>South Bristol Wharf, LLC (pdf)</a> <span class='document__meta'>(2.2 MB)</span>","South Bristol Wharf, LLC (pdf) (2.2 MB)",['https://www.epa.gov/system/files/documents/2025-09/finalme0023272permit-2007.pdf'],final,me,"Tidewaters of South Bristol, Class SB",,
"South Portland (Fore River, Class SC)",<a href='https://www.epa.gov/system/files/documents/2026-02/finalme0002291permit-2026.pdf'>Citgo Petroleum Corporation (pdf)</a> <span class='document__meta'>(1.1 MB)</span>,ME0002291,02/06/2026,South Portland,<a href='https://www.epa.gov/system/files/documents/2026-02/finalme0002291permit-2026.pdf'>Citgo Petroleum Corporation (pdf)</a> <span class='document__meta'>(1.1 MB)</span>,Citgo Petroleum Corporation (pdf) (1.1 MB),['https://www.epa.gov/system/files/documents/2026-02/finalme0002291permit-2026.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)",<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0002291permit-2019.pdf'>Citgo Petroleum Corporation (pdf)</a> <span class='document__meta'>(1.5 MB)</span>,ME0002291,10/08/2019,South Portland,<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0002291permit-2019.pdf'>Citgo Petroleum Corporation (pdf)</a> <span class='document__meta'>(1.5 MB)</span>,Citgo Petroleum Corporation (pdf) (1.5 MB),['https://www.epa.gov/system/files/documents/2025-07/finalme0002291permit-2019.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)",<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0002291permit-2009.pdf'>Citgo Petroleum Corporation (pdf)</a> <span class='document__meta'>(16.1 MB)</span>,ME0002291,09/29/2009,South Portland,<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0002291permit-2009.pdf'>Citgo Petroleum Corporation (pdf)</a> <span class='document__meta'>(16.1 MB)</span>,Citgo Petroleum Corporation (pdf) (16.1 MB),['https://www.epa.gov/system/files/documents/2025-08/finalme0002291permit-2009.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)",<a href='https://www.epa.gov/system/files/documents/2025-09/finalme0002291permit-2006.pdf'>Citgo Petroleum Corporation (pdf)</a> <span class='document__meta'>(1.6 MB)</span>,ME0002291,01/21/2006,South Portland,<a href='https://www.epa.gov/system/files/documents/2025-09/finalme0002291permit-2006.pdf'>Citgo Petroleum Corporation (pdf)</a> <span class='document__meta'>(1.6 MB)</span>,Citgo Petroleum Corporation (pdf) (1.6 MB),['https://www.epa.gov/system/files/documents/2025-09/finalme0002291permit-2006.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)","<a href='https://www.epa.gov/system/files/documents/2025-06/finalme0021571permit-2020.pdf'>Clean Harbor Environmental Services, Inc. (pdf)</a> <span class='document__meta'>(1.2MB)</span>",ME0021571,03/20/2020,South Portland,"<a href='https://www.epa.gov/system/files/documents/2025-06/finalme0021571permit-2020.pdf'>Clean Harbor Environmental Services, Inc. (pdf)</a> <span class='document__meta'>(1.2MB)</span>","Clean Harbor Environmental Services, Inc. (pdf) (1.2MB)",['https://www.epa.gov/system/files/documents/2025-06/finalme0021571permit-2020.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Rolling Mill Outlet Pond, Class C)","<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0021571permit-2009.pdf'>Clean Harbor Environmental Services, Inc. (pdf)</a> <span class='document__meta'>(3.9 MB)</span>",ME0021571,04/14/2009,South Portland,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0021571permit-2009.pdf'>Clean Harbor Environmental Services, Inc. (pdf)</a> <span class='document__meta'>(3.9 MB)</span>","Clean Harbor Environmental Services, Inc. (pdf) (3.9 MB)",['https://www.epa.gov/system/files/documents/2025-08/finalme0021571permit-2009.pdf'],final,me,"Rolling Mill Outlet Pond, Class C",,
"South Portland (Fore River, Class SC)","<a href='https://www.epa.gov/system/files/documents/2026-03/finalme0000485permit-2026.pdf'>Buckeye South Portland Terminal, LLC (pdf)</a> <span class='document__meta'>(1.1 MB)</span>",ME0000485,03/04/2026,South Portland,"<a href='https://www.epa.gov/system/files/documents/2026-03/finalme0000485permit-2026.pdf'>Buckeye South Portland Terminal, LLC (pdf)</a> <span class='document__meta'>(1.1 MB)</span>","Buckeye South Portland Terminal, LLC (pdf) (1.1 MB)",['https://www.epa.gov/system/files/documents/2026-03/finalme0000485permit-2026.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)","<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0000485permit-2019.pdf'>Buckeye South Portland Terminal, LLC (pdf)</a> <span class='document__meta'>(1.9 MB)</span>",ME0000485,12/16/2019,South Portland,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0000485permit-2019.pdf'>Buckeye South Portland Terminal, LLC (pdf)</a> <span class='document__meta'>(1.9 MB)</span>","Buckeye South Portland Terminal, LLC (pdf) (1.9 MB)",['https://www.epa.gov/system/files/documents/2025-07/finalme0000485permit-2019.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)",<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0000485permit-2009.pdf'>Exxon Mobile Corp. - South Portland Terminal (pdf)</a> <span class='document__meta'>(4.4 MB)</span>,ME0000485,04/27/2009,South Portland,<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0000485permit-2009.pdf'>Exxon Mobile Corp. - South Portland Terminal (pdf)</a> <span class='document__meta'>(4.4 MB)</span>,Exxon Mobile Corp. - South Portland Terminal (pdf) (4.4 MB),['https://www.epa.gov/system/files/documents/2025-08/finalme0000485permit-2009.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Barberry Creek, Class C)","<a href='https://www.epa.gov/system/files/documents/2025-06/finalme0001775permit-2022.pdf'>Global Companies, LLC (pdf)</a> <span class='document__meta'>(1 MB)</span>",ME0001775,09/13/2022,South Portland,"<a href='https://www.epa.gov/system/files/documents/2025-06/finalme0001775permit-2022.pdf'>Global Companies, LLC (pdf)</a> <span class='document__meta'>(1 MB)</span>","Global Companies, LLC (pdf) (1 MB)",['https://www.epa.gov/system/files/documents/2025-06/finalme0001775permit-2022.pdf'],final,me,"Barberry Creek, Class C",,
"South Portland (Barberry Creek, Class C)","<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0001775permit-2016.pdf'>Global Companies, LLC (pdf)</a> <span class='document__meta'>(1.4 MB)</span>",ME0001775,06/14/2016,South Portland,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0001775permit-2016.pdf'>Global Companies, LLC (pdf)</a> <span class='document__meta'>(1.4 MB)</span>","Global Companies, LLC (pdf) (1.4 MB)",['https://www.epa.gov/system/files/documents/2025-07/finalme0001775permit-2016.pdf'],final,me,"Barberry Creek, Class C",,
"South Portland (Barberry Creek, Class C)","<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0001775permit-2011.pdf'>Global Companies, LLC (pdf)</a> <span class='document__meta'>(2.6 MB)</span>",ME0001775,06/13/2011,South Portland,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0001775permit-2011.pdf'>Global Companies, LLC (pdf)</a> <span class='document__meta'>(2.6 MB)</span>","Global Companies, LLC (pdf) (2.6 MB)",['https://www.epa.gov/system/files/documents/2025-08/finalme0001775permit-2011.pdf'],final,me,"Barberry Creek, Class C",,
"South Portland (Barberry Creek, Class C)",<a href='https://www.epa.gov/system/files/documents/2025-09/finalme0001775permit-2006.pdf'>Global Companies (pdf)</a> <span class='document__meta'>(1.1 MB)</span>,ME0001775,04/14/2006,South Portland,<a href='https://www.epa.gov/system/files/documents/2025-09/finalme0001775permit-2006.pdf'>Global Companies (pdf)</a> <span class='document__meta'>(1.1 MB)</span>,Global Companies (pdf) (1.1 MB),['https://www.epa.gov/system/files/documents/2025-09/finalme0001775permit-2006.pdf'],final,me,"Barberry Creek, Class C",,
"South Portland (Fore River, Class SC)",<a href='https://www.epa.gov/system/files/documents/2026-03/finalme0022314permit-2026.pdf'>Sunoco Midstream LLC (pdf)</a> <span class='document__meta'>(964 KB)</span>,ME0022314,03/04/2026,South Portland,<a href='https://www.epa.gov/system/files/documents/2026-03/finalme0022314permit-2026.pdf'>Sunoco Midstream LLC (pdf)</a> <span class='document__meta'>(964 KB)</span>,Sunoco Midstream LLC (pdf) (964 KB),['https://www.epa.gov/system/files/documents/2026-03/finalme0022314permit-2026.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)",<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0022314permit-2019.pdf'>Gulf Oil Limited Partnership (pdf)</a> <span class='document__meta'>(1.5 MB)</span>,ME0022314,12/16/2019,South Portland,<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0022314permit-2019.pdf'>Gulf Oil Limited Partnership (pdf)</a> <span class='document__meta'>(1.5 MB)</span>,Gulf Oil Limited Partnership (pdf) (1.5 MB),['https://www.epa.gov/system/files/documents/2025-07/finalme0022314permit-2019.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)",<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0022314permit-2014.pdf'>Gulf Oil Limited Partnership (pdf)</a> <span class='document__meta'>(1.6 MB)</span>,ME0022314,12/18/2014,South Portland,<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0022314permit-2014.pdf'>Gulf Oil Limited Partnership (pdf)</a> <span class='document__meta'>(1.6 MB)</span>,Gulf Oil Limited Partnership (pdf) (1.6 MB),['https://www.epa.gov/system/files/documents/2025-07/finalme0022314permit-2014.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Long Creek, Class SC)","<a href='https://www.epa.gov/system/files/documents/2025-07/finalme5s0008permit-2016.pdf'>New Gen Ventures LLC, 50 Maine Mall Road (pdf)</a> <span class='document__meta'>(888 KB)</span>",ME5S0008,09/16/2016,South Portland,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalme5s0008permit-2016.pdf'>New Gen Ventures LLC, 50 Maine Mall Road (pdf)</a> <span class='document__meta'>(888 KB)</span>","New Gen Ventures LLC, 50 Maine Mall Road (pdf) (888 KB)",['https://www.epa.gov/system/files/documents/2025-07/finalme5s0008permit-2016.pdf'],final,me,"Long Creek, Class SC",,
"South Portland (Anthoine Creek, Class C)",<a href='https://www.epa.gov/system/files/documents/2025-06/finalme0021440permit-2020.pdf'>Portland Pipe Line Corporation Bulk Fuel Storage Facility (pdf)</a> <span class='document__meta'>(1.5 MB)</span>,ME0021440,08/21/2020,South Portland,<a href='https://www.epa.gov/system/files/documents/2025-06/finalme0021440permit-2020.pdf'>Portland Pipe Line Corporation Bulk Fuel Storage Facility (pdf)</a> <span class='document__meta'>(1.5 MB)</span>,Portland Pipe Line Corporation Bulk Fuel Storage Facility (pdf) (1.5 MB),['https://www.epa.gov/system/files/documents/2025-06/finalme0021440permit-2020.pdf'],final,me,"Anthoine Creek, Class C",,
"South Portland (Anthoine Creek, Class C)",<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0021440permit-2014.pdf'>Portland Pipe Line Corporation Bulk Fuel Storage Facility (pdf)</a> <span class='document__meta'>(1.6 MB)</span>,ME0021440,12/15/2014,South Portland,<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0021440permit-2014.pdf'>Portland Pipe Line Corporation Bulk Fuel Storage Facility (pdf)</a> <span class='document__meta'>(1.6 MB)</span>,Portland Pipe Line Corporation Bulk Fuel Storage Facility (pdf) (1.6 MB),['https://www.epa.gov/system/files/documents/2025-07/finalme0021440permit-2014.pdf'],final,me,"Anthoine Creek, Class C",,
"South Portland (Fore River, Class SC)","<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0100633permitmod-2018.pdf'>South Portland, City of (Minor Revision) (pdf)</a> <span class='document__meta'>(506 KB)</span>",ME0100633,03/12/2018,South Portland,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0100633permitmod-2018.pdf'>South Portland, City of (Minor Revision) (pdf)</a> <span class='document__meta'>(506 KB)</span>","South Portland, City of (Minor Revision) (pdf) (506 KB)",['https://www.epa.gov/system/files/documents/2025-07/finalme0100633permitmod-2018.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)","<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0100633permit-2017.pdf'>South Portland, City of (pdf)</a> <span class='document__meta'>(7.1 MB)</span>",ME0100633,09/05/2017,South Portland,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0100633permit-2017.pdf'>South Portland, City of (pdf)</a> <span class='document__meta'>(7.1 MB)</span>","South Portland, City of (pdf) (7.1 MB)",['https://www.epa.gov/system/files/documents/2025-07/finalme0100633permit-2017.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)","<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0100633permitmod-2015.pdf'>South Portland, City of (Minor Revision) (pdf)</a> <span class='document__meta'>(211 KB)</span>",ME0100633,12/18/2015,South Portland,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0100633permitmod-2015.pdf'>South Portland, City of (Minor Revision) (pdf)</a> <span class='document__meta'>(211 KB)</span>","South Portland, City of (Minor Revision) (pdf) (211 KB)",['https://www.epa.gov/system/files/documents/2025-07/finalme0100633permitmod-2015.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)","<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0100633permitmod-2009.pdf'>South Portland, City of (Modification) (pdf)</a> <span class='document__meta'>(122 KB)</span>",ME0100633,02/19/2009,South Portland,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0100633permitmod-2009.pdf'>South Portland, City of (Modification) (pdf)</a> <span class='document__meta'>(122 KB)</span>","South Portland, City of (Modification) (pdf) (122 KB)",['https://www.epa.gov/system/files/documents/2025-08/finalme0100633permitmod-2009.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)","<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0100633permit-2008.pdf'>South Portland, City of (Modification) (pdf)</a> <span class='document__meta'>(38 KB)</span>",ME0100633,02/19/2008,South Portland,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0100633permit-2008.pdf'>South Portland, City of (Modification) (pdf)</a> <span class='document__meta'>(38 KB)</span>","South Portland, City of (Modification) (pdf) (38 KB)",['https://www.epa.gov/system/files/documents/2025-08/finalme0100633permit-2008.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)","<a href='https://www.epa.gov/system/files/documents/2025-09/finalme0100633permit-2006.pdf'>South Portland, City of (Modification) (pdf)</a> <span class='document__meta'>(532 KB)</span>",ME0100633,12/22/2006,South Portland,"<a href='https://www.epa.gov/system/files/documents/2025-09/finalme0100633permit-2006.pdf'>South Portland, City of (Modification) (pdf)</a> <span class='document__meta'>(532 KB)</span>","South Portland, City of (Modification) (pdf) (532 KB)",['https://www.epa.gov/system/files/documents/2025-09/finalme0100633permit-2006.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)","<a href='https://www.epa.gov/system/files/documents/2025-09/me0100633permit-2004.pdf'>South Portland, City of (pdf)</a> <span class='document__meta'>(259 KB)</span>",ME0100633,04/13/2004,South Portland,"<a href='https://www.epa.gov/system/files/documents/2025-09/me0100633permit-2004.pdf'>South Portland, City of (pdf)</a> <span class='document__meta'>(259 KB)</span>","South Portland, City of (pdf) (259 KB)",['https://www.epa.gov/system/files/documents/2025-09/me0100633permit-2004.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)",<a href='https://www.epa.gov/system/files/documents/2025-06/finalme0001821permit-2023.pdf'>Sprague South Portland (pdf)</a> <span class='document__meta'>(840 KB)</span>,ME0001821,12/21/2023,South Portland,<a href='https://www.epa.gov/system/files/documents/2025-06/finalme0001821permit-2023.pdf'>Sprague South Portland (pdf)</a> <span class='document__meta'>(840 KB)</span>,Sprague South Portland (pdf) (840 KB),['https://www.epa.gov/system/files/documents/2025-06/finalme0001821permit-2023.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)","<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0001821permit-2018.pdf'>Sprague Operating Resources, LLC (pdf)</a> <span class='document__meta'>(2 MB)</span>",ME0001821,04/19/2018,South Portland,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0001821permit-2018.pdf'>Sprague Operating Resources, LLC (pdf)</a> <span class='document__meta'>(2 MB)</span>","Sprague Operating Resources, LLC (pdf) (2 MB)",['https://www.epa.gov/system/files/documents/2025-07/finalme0001821permit-2018.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)","<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0001821permit-2014.pdf'>Sprague Operating Resources, LLC (pdf)</a> <span class='document__meta'>(498 KB)</span>",ME0001821,11/05/2014,South Portland,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalme0001821permit-2014.pdf'>Sprague Operating Resources, LLC (pdf)</a> <span class='document__meta'>(498 KB)</span>","Sprague Operating Resources, LLC (pdf) (498 KB)",['https://www.epa.gov/system/files/documents/2025-07/finalme0001821permit-2014.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)","<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0001821permit-2012.pdf'>Sprague Operating Resources, LLC (pdf)</a> <span class='document__meta'>(2.7 MB)</span>",ME0001821,05/07/2012,South Portland,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0001821permit-2012.pdf'>Sprague Operating Resources, LLC (pdf)</a> <span class='document__meta'>(2.7 MB)</span>","Sprague Operating Resources, LLC (pdf) (2.7 MB)",['https://www.epa.gov/system/files/documents/2025-08/finalme0001821permit-2012.pdf'],final,me,"Fore River, Class SC",,
"South Portland (Fore River, Class SC)",<a href='https://www.epa.gov/system/files/documents/2025-09/finalme0001821permit-2006.pdf'>Sprague Energy Corporation (pdf)</a> <span class='document__meta'>(1.2 MB)</span>,ME0001821,11/06/2006,South Portland,<a href='https://www.epa.gov/system/files/documents/2025-09/finalme0001821permit-2006.pdf'>Sprague Energy Corporation (pdf)</a> <span class='document__meta'>(1.2 MB)</span>,Sprague Energy Corporation (pdf) (1.2 MB),['https://www.epa.gov/system/files/documents/2025-09/finalme0001821permit-2006.pdf'],final,me,"Fore River, Class SC",,
"South Windham (Presumpscot River, Class B)",<a href='https://www.epa.gov/system/files/documents/2025-09/finalme0101729permit-2006.pdf'>Maine Correctional Center (pdf)</a> <span class='document__meta'>(1.9 MB)</span>,ME0101729,01/06/2006,South Windham,<a href='https://www.epa.gov/system/files/documents/2025-09/finalme0101729permit-2006.pdf'>Maine Correctional Center (pdf)</a> <span class='document__meta'>(1.9 MB)</span>,Maine Correctional Center (pdf) (1.9 MB),['https://www.epa.gov/system/files/documents/2025-09/finalme0101729permit-2006.pdf'],final,me,"Presumpscot River, Class B",,
"Southport (Booth Bay, Class SB)",<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0002691permit-2009.pdf'>East Capitol Island Partnership Overboard Discharge (pdf)</a> <span class='document__meta'>(2.2 MB)</span>,ME0002691,12/22/2009,Southport,<a href='https://www.epa.gov/system/files/documents/2025-08/finalme0002691permit-2009.pdf'>East Capitol Island Partnership Overboard Discharge (pdf)</a> <span class='document__meta'>(2.2 MB)</span>,East Capitol Island Partnership Overboard Discharge (pdf) (2.2 MB),['https://www.epa.gov/system/files/documents/2025-08/finalme0002691permit-2009.pdf'],final,me,"Booth Bay, Class SB",,
